timestamp,mqtt_messages,websocket_messages,db_inserts,skipped,errors,success_rate
2025-05-14T08:02:54.139Z,1187,11191,11793,0,585,95.27
2025-05-14T08:03:27.042Z,1187,11191,11793,0,585,95.27
2025-05-14T08:03:58.113Z,1187,11191,11793,0,585,95.27
2025-05-14T08:04:33.082Z,1187,11191,11793,0,585,95.27
2025-05-14T08:05:05.719Z,1187,11191,11793,0,585,95.27
2025-05-14T08:05:35.720Z,1187,11191,11793,0,585,95.27
2025-05-14T08:06:10.202Z,1187,11191,11793,0,585,95.27
2025-05-14T08:06:40.208Z,1187,11191,11793,0,585,95.27
2025-05-14T08:07:12.287Z,1187,11191,11793,0,585,95.27
2025-05-14T08:07:46.017Z,1187,11191,11793,0,585,95.27
2025-05-14T08:08:16.780Z,1187,11191,11793,0,585,95.27
2025-05-14T08:08:52.805Z,1187,11191,11793,0,585,95.27
2025-05-14T08:09:22.950Z,1187,11191,11793,0,585,95.27
2025-05-14T08:09:54.323Z,1187,11191,11793,0,585,95.27
2025-05-14T08:10:26.329Z,1187,11191,11793,0,585,95.27
2025-05-14T08:10:57.999Z,1187,11191,11793,0,585,95.27
2025-05-14T08:11:27.999Z,1187,11191,11793,0,585,95.27
2025-05-14T08:11:58.000Z,1187,11191,11793,0,585,95.27
2025-05-14T08:12:28.000Z,1187,11191,11793,0,585,95.27
2025-05-14T08:12:58.003Z,1187,11191,11793,0,585,95.27
2025-05-14T08:13:28.003Z,1187,11191,11793,0,585,95.27
2025-05-14T08:14:00.713Z,1187,11191,11793,0,585,95.27
2025-05-14T08:14:33.330Z,1187,11191,11793,0,585,95.27
2025-05-14T08:15:04.053Z,1187,11191,11793,0,585,95.27
2025-05-14T08:15:37.247Z,1187,11191,11793,0,585,95.27
2025-05-14T08:16:10.499Z,1187,11191,11793,0,585,95.27
2025-05-14T08:16:42.408Z,1187,11191,11793,0,585,95.27
2025-05-14T08:17:18.190Z,1187,11191,11793,0,585,95.27
